pressure,conservative_temperature,absolute_salinity
152.0,14.42573,38.82911
153.0,14.431803,38.83322
154.0,14.422003,38.83178
155.0,14.409502,38.830666
156.0,14.408083,38.834324
157.0,14.4152155,38.841835
158.0,14.420917,38.85077
159.0,14.4100485,38.856
160.0,14.398246,38.85626
161.0,14.39155,38.855804
162.0,14.41894,38.867863
163.0,14.465045,38.886955
164.0,14.480647,38.894905
165.0,14.479007,38.897343
166.0,14.470708,38.900528
167.0,14.449603,38.899754
168.0,14.426087,38.896572
169.0,14.418187,38.89713
170.0,14.416285,38.898026
171.0,14.413872,38.89803
172.0,14.412724,38.89848
173.0,14.411508,38.899036
174.0,14.410405,38.89904
175.0,14.407942,38.899044
176.0,14.402113,38.898544
177.0,14.395192,38.89748
178.0,14.3924,38.89703
179.0,14.390914,38.89611
180.0,14.366157,38.8926
181.0,14.316452,38.886166
182.0,14.313432,38.889534
183.0,14.349232,38.903038
184.0,14.374218,38.91157
185.0,14.403238,38.92
186.0,14.451954,38.939396
187.0,14.47083,38.949642
188.0,14.439209,38.94381
189.0,14.434682,38.943806
190.0,14.477273,38.96046
191.0,14.502823,38.97334
192.0,14.484682,38.972664
193.0,14.468202,38.970116
194.0,14.46449,38.969307
195.0,14.456995,38.9687
196.0,14.454078,38.96939
197.0,14.457029,38.971672
198.0,14.460931,38.975723
199.0,14.463227,38.979332
200.0,14.462974,38.97933
201.0,14.462875,38.981113
202.0,14.460126,38.98334
203.0,14.460916,38.98535
204.0,14.469085,38.99038
205.0,14.47431,38.993896
206.0,14.47324,38.9944
207.0,14.472432,38.99485
208.0,14.475264,38.996914
209.0,14.48247,39.000656
210.0,14.491627,39.004086
211.0,14.49741,39.006966
212.0,14.495727,39.008476
213.0,14.492578,39.00898
214.0,14.474088,39.00697
215.0,14.450697,39.002228
216.0,14.44542,39.000443
217.0,14.444458,39.00099
218.0,14.443758,39.002956
219.0,14.449976,39.006474
220.0,14.462616,39.0115
221.0,14.465355,39.01502
222.0,14.465151,39.01703
223.0,14.471368,39.020546
224.0,14.476108,39.023563
225.0,14.4774065,39.02507
226.0,14.478221,39.026077
227.0,14.479035,39.02708
228.0,14.478372,39.027584
229.0,14.476714,39.02809
230.0,14.475541,39.0291
231.0,14.471309,39.029602
232.0,14.465074,39.030006
233.0,14.463547,39.031055
234.0,14.463919,39.032116
235.0,14.463752,39.03262
236.0,14.463597,39.032623
237.0,14.463444,39.032623
238.0,14.4578495,39.03162
239.0,14.440394,39.028107
240.0,14.420965,39.024086
241.0,14.411906,39.022583
242.0,14.411739,39.023087
243.0,14.414044,39.024094
244.0,14.413878,39.024593
245.0,14.412731,39.024597
246.0,14.412081,39.024597
247.0,14.407966,39.024097
248.0,14.403353,39.023598
249.0,14.400727,39.023094
250.0,14.396806,39.022224
251.0,14.39207,39.02148
252.0,14.387335,39.020737
253.0,14.3826,39.019993
254.0,14.377865,39.019245
255.0,14.372884,39.018436
256.0,14.365683,39.017044
257.0,14.35848,39.01565
258.0,14.351279,39.014256
259.0,14.344078,39.012863
260.0,14.336877,39.01147
261.0,14.329676,39.01008
262.0,14.322475,39.008686
263.0,14.315274,39.00729
264.0,14.308073,39.005898
265.0,14.300873,39.004505
266.0,14.295679,39.00352
267.0,14.290485,39.002533
268.0,14.285293,39.00155
269.0,14.280099,39.000565
270.0,14.274906,38.999577
271.0,14.269712,38.998592
272.0,14.26452,38.99761
273.0,14.259326,38.996624
274.0,14.254133,38.995636
275.0,14.24894,38.99465
276.0,14.245078,38.99437
277.0,14.241548,38.994267
278.0,14.238018,38.994164
279.0,14.234488,38.994057
280.0,14.230958,38.993954
281.0,14.227428,38.99385
282.0,14.223898,38.993744
283.0,14.220368,38.99364
284.0,14.216839,38.993538
285.0,14.213606,38.993492
286.0,14.213043,38.993996
287.0,14.212481,38.994495
288.0,14.211918,38.995
289.0,14.211355,38.9955
290.0,14.210793,38.996002
291.0,14.210231,38.996506
292.0,14.209668,38.997005
293.0,14.2091055,38.99751
294.0,14.208543,38.998013
295.0,14.20818,38.99857
296.0,14.209625,38.99963
297.0,14.211069,39.000694
298.0,14.212514,39.001755
299.0,14.213958,39.00282
300.0,14.215402,39.00388
301.0,14.216846,39.004944
302.0,14.21829,39.006004
303.0,14.219734,39.00707
304.0,14.221178,39.008133
305.0,14.222622,39.009197
306.0,14.220879,39.009155
307.0,14.21777,39.008636
308.0,14.21466,39.00812
309.0,14.211551,39.007603
310.0,14.208441,39.007088
311.0,14.205332,39.00657
312.0,14.202223,39.006054
313.0,14.199113,39.005535
314.0,14.196004,39.00502
315.0,14.192895,39.0045
316.0,14.191733,39.004707
317.0,14.190573,39.00491
318.0,14.189411,39.005116
319.0,14.18825,39.00532
320.0,14.187089,39.005524
321.0,14.185927,39.00573
322.0,14.184767,39.00593
323.0,14.183605,39.006138
324.0,14.182445,39.00634
325.0,14.181296,39.006523
326.0,14.180267,39.006527
327.0,14.179238,39.006527
328.0,14.178208,39.006527
329.0,14.177179,39.00653
330.0,14.17615,39.00653
331.0,14.175121,39.00653
332.0,14.174092,39.006535
